order_id,customer_id,order_date,delivery_date,total_amount,discount_applied,tax_amount,shipping_cost,order_status,payment_method,notes
1,2962,2024-05-22,2024-05-28,6612.68,2.53,19.79,11.32,Shipped,Debit Card,First seek season TV hospital important everything million.
2,6416,2022-01-20,2022-01-22,3671.35,25.69,19.43,9.88,Pending,Credit Card,Education later heart attack none ok enough.
3,4524,2023-09-25,2023-09-27,3232.65,25.02,8.79,8.77,Shipped,Cash,Interest old daughter.
4,4754,2024-11-06,2024-11-12,8201.34,7.53,21.47,16.23,Returned,Cash,Environmental board especially affect.
5,4144,2023-02-28,2023-03-03,9914.23,4.42,18.8,19.71,Pending,Credit Card,Yes since rise enjoy economy.
6,2462,2023-03-03,2023-03-12,10362.04,4.95,22.78,11.62,Returned,Debit Card,Drop soldier question maintain matter house remember provide.
7,2576,2023-07-30,2023-08-06,8405.85,13.85,5.94,14.41,Cancelled,PayPal,See somebody indeed scientist.
8,1744,2023-06-24,2023-07-03,2996.82,1.69,23.32,7.83,Delivered,Debit Card,Line eye gas far.
9,234,2022-09-06,2022-09-08,5037.23,1.31,5.87,5.9,Cancelled,Debit Card,Different than point physical tree.
10,5606,2022-08-06,2022-08-10,3150.7799999999997,15.43,22.21,14.68,Cancelled,Cash,Study above knowledge case.
11,4648,2022-01-29,2022-02-05,4693.25,12.07,16.03,6.81,Shipped,PayPal,Protect break drive build.
12,456,2024-04-13,2024-04-22,5349.639999999999,7.24,10.48,11.32,Shipped,Debit Card,Exactly her recently project cold despite up.
13,4703,2022-02-28,2022-03-04,3731.8500000000004,24.6,12.07,16.83,Cancelled,PayPal,Personal stock coach product you.
14,5476,2024-02-27,2024-03-01,5023.74,8.9,13.22,8.01,Pending,Cash,Usually culture pass say.
15,8112,2022-11-29,2022-12-06,9935.66,6.12,24.46,16.34,Returned,PayPal,Get growth difference can late.
16,8188,2023-04-30,2023-05-03,479.84000000000003,11.88,18.49,10.38,Returned,PayPal,Movie hard huge little scene and TV.
17,5361,2022-01-30,2022-02-07,9595.33,23.67,5.25,16.78,Shipped,Debit Card,All sure oil describe much.
18,5158,2022-07-02,2022-07-11,1605.25,4.6,16.39,10.93,Delivered,PayPal,Look she boy keep participant.
19,1447,2022-06-16,2022-06-20,200.12,0.26,8.2,19.56,Shipped,PayPal,Probably could form here.
20,4352,2022-11-04,2022-11-07,5736.04,10.16,14.6,13.82,Delivered,Debit Card,Home piece let rule.
21,2138,2022-07-01,2022-07-10,3373.63,6.9,12.93,5.68,Pending,PayPal,Off send reach various state send.
22,7040,2023-12-14,2023-12-18,496.22,9.21,6.15,14.28,Cancelled,Credit Card,Shake majority world finish first throughout fear.
23,1270,2023-04-29,2023-05-09,5662.68,6.62,14.73,7.68,Returned,Debit Card,Speak understand international thought.
24,265,2022-02-13,2022-02-16,717.13,18.6,9.01,14.58,Shipped,PayPal,Get sign kitchen serve until address.
25,9931,2023-03-27,2023-04-01,7520.95,4.58,17.15,10.54,Pending,PayPal,Foreign impact every accept ball face large resource.
26,2181,2024-02-21,2024-02-29,6140.4400000000005,16.71,5.51,17.08,Returned,PayPal,Positive argue than response.
27,9888,2022-12-12,2022-12-17,804.23,1.63,15.92,13.08,Shipped,PayPal,Experience Congress store yourself have.
